itemLabel,ICAO_airport_code,countryLabel,located_in_the_administrative_territorial_entityLabel,coordinate_location
Afonso Pena International Airport,SBCT,Brazil,São Jose dos Pinhais,Point(-49.176111111 -25.531666666)
Aberdeen Airport,EGPD,United Kingdom,Aberdeen City,Point(-2.197778 57.201944)
Sanya Phoenix International Airport,ZJSY,People's Republic of China,Tianya District,Point(109.412272222 18.302897222)
Belgrade Nikola Tesla Airport,LYBE,Serbia,,Point(20.306944444 44.819444444)
Juan Santamaria International Airport,MROC,Costa Rica,Alajuela Province,Point(-84.208888888 9.993888888)
Orly Airport,LFPO,France,Orly,Point(2.379444 48.723333)
Jackson-Evers International Airport,KJAN,United States of America,Mississippi,Point(-90.075833333 32.311111111)
New York Stewart International Airport,KSWF,United States of America,Orange County,Point(-74.104722222 41.504166666)
Miami International Airport,KMIA,United States of America,Miami-Dade County,Point(-80.290555555 25.793333333)
Bergen Airport,ENBR,Norway,Bergen municipality,Point(5.218061111 60.293611111)
Tainan Airport,RCNN,Taiwan,South District,Point(120.205555555 22.950277777)
Xiamen Gaoqi International Airport,ZSAM,People's Republic of China,Huli District,Point(118.127777777 24.544166666)
Gregorio Luperon International Airport,MDPP,Dominican Republic,Sosúa,Point(-70.57 19.757777777)
Abeid Amani Karume International Airport,HTZA,Tanzania,Unguja,Point(39.22128 -6.21757)
Phoenix Sky Harbor International Airport,KPHX,United States of America,Phoenix,Point(-112.011666666 33.434166666)
Canberra International Airport,YSCB,Australia,Australian Capital Territory,Point(149.195 -35.306944444)
Tainan Airport,RCNN,Taiwan,Rende District,Point(120.205555555 22.950277777)
Ellinikon International Airport,LGAT,Greece,Elliniko,Point(23.729444444 37.898333333)
Kaohsiung International Airport,RCKH,Taiwan,Siaogang District,Point(120.35 22.576944444)
Tehran Imam Khomeini International Airport,OIIE,Iran,Tehran Province,Point(51.152222222 35.416111111)
Abbotsford International Airport,CYXX,Canada,British Columbia,Point(-122.36 49.0253)
Juan Santamaria International Airport,MROC,Costa Rica,Alajuela Canton,Point(-84.208888888 9.993888888)
"Kos International Airport ""Hippocrates""",LGKO,Greece,South Aegean Region,Point(27.091666666 36.793336111)
Domodedovo International Airport,UUDD,Russia,Domodedovsky District,Point(37.906111111 55.408611111)
Almaty International Airport,UAAA,Kazakhstan,Almaty,Point(77.040555555 43.351944444)
Baghdad International Airport,ORBI,Iraq,Baghdad,Point(44.234444444 33.2625)
Alta,ENGM,Norway,Ullensaker,Point(11.10036 60.19392)
Perth Airport,YPPH,Australia,City of Kalamunda,Point(115.966944444 -31.940277777)
St. John's International Airport,CYYT,Canada,Newfoundland and Labrador,Point(-52.7525 47.618611111)
Cochin International Airport,VOCI,India,Nedumbassery,Point(76.40194444 10.15194444)
Huangshan Tunxi International Airport,ZSTX,People's Republic of China,Yiqi,Point(118.252777777 29.73)
